┌────────────┬────────────┬────────────┬────────────┬────────────┬────────────┬────────────┬────────────┬────────────┬────────────┐
│     c1     │     c2     │     c3     │     c4     │     c5     │     c6     │     c7     │     c8     │     c9     │    c10     │
├────────────┼────────────┼────────────┼────────────┼────────────┼────────────┼────────────┼────────────┼────────────┼────────────┤
│ 3          │ 3          │ 3          │ 3          │ 3.0        │ 3          │ 3          │ 3          │ 3          │ 3          │
│ 4.5        │ 4.5        │ 4.5        │ 4.5        │ 4.5        │ 4.5        │ 4.5        │ 4.5        │ 4.5        │ 4.5        │
│ 5          │ 5          │ 5          │ 5          │ 5.0        │ 5          │ 5          │ 5          │ 5          │ 5          │
│ 6.7        │ 6.7        │ 6.7        │ 6.7        │ 6.7        │ 6.7        │ 6.7        │ 6.7        │ 6.7        │ 6.7        │
│ abc        │ abc        │ abc        │ abc        │ abc        │ abc        │ abc        │ abc        │ abc        │ abc        │
│            │            │            │            │            │            │            │            │            │            │
│ �&          │ �&          │ �&          │ �&          │ �&          │ �&          │ �&          │ �&          │ �&          │ �&          │
│            │            │            │            │            │            │            │            │            │            │
│ 2023-08-01 │ 2023-08-01 │ 2023-08-01 │ 2023-08-01 │ 2023-08-01 │ 2023-08-01 │ 2023-08-01 │ 2023-08-01 │ 2023-08-01 │ 2023-08-01 │
│ 1          │ 1          │ 1          │ 1          │ 1.0        │ 1          │ 1          │ 1          │ 1          │ 1          │
│ 0          │ 0          │ 0          │ 0          │ 0.0        │ 0          │ 0          │ 0          │ 0          │ 0          │
└────────────┴────────────┴────────────┴────────────┴────────────┴────────────┴────────────┴────────────┴────────────┴────────────┘
